Event number of finishers,age_at_race,hours,avgtemp,Elevation gain
82.0,44.0,15.608611111111111,10.0,11000.0
159.0,54.0,17.649722222222223,22.0,3200.0
63.0,31.0,16.85611111111111,8.0,11000.0
143.0,26.0,14.77111111111111,27.0,10000.0
109.0,35.0,10.953611111111112,11.0,4000.0
189.0,29.0,11.316944444444443,21.0,6000.0
60.0,51.0,13.992222222222225,27.0,5600.0
159.0,58.0,21.391666666666666,22.0,3200.0
68.0,46.0,16.397777777777776,22.0,9000.0
103.0,32.0,13.911944444444444,13.0,4000.0
221.0,40.0,13.247777777777776,22.0,3200.0
123.0,54.0,18.02861111111111,26.0,3200.0
109.0,29.0,16.360555555555557,19.0,3200.0
221.0,56.0,19.14027777777778,22.0,3200.0
65.0,26.0,21.833333333333332,9.0,11000.0
83.0,55.0,17.33277777777778,28.0,5600.0
140.0,36.0,11.14638888888889,22.0,6000.0
91.0,26.0,11.087222222222222,28.0,5600.0
84.0,34.0,12.608888888888888,10.0,4000.0
79.0,58.0,15.638333333333334,9.0,11000.0
103.0,45.0,12.346666666666666,17.0,3200.0
199.0,44.0,13.249722222222225,24.0,3200.0
92.0,47.0,14.654166666666669,15.0,4000.0
221.0,48.0,21.329444444444444,22.0,3200.0
40.0,37.0,13.975,20.0,9000.0
67.0,42.0,16.977222222222224,17.0,9000.0
197.0,32.0,10.45,18.0,3200.0
76.0,48.0,17.17972222222222,9.0,11000.0
130.0,45.0,9.991666666666667,25.0,10000.0
166.0,34.0,16.518333333333334,24.0,10000.0
143.0,29.0,8.641388888888889,27.0,10000.0
130.0,40.0,11.311111111111112,25.0,10000.0
189.0,43.0,10.800833333333332,21.0,6000.0
108.0,26.0,7.841111111111111,22.0,6000.0
172.0,47.0,16.0225,22.0,10000.0
75.0,42.0,22.774444444444445,17.0,6000.0
49.0,32.0,15.925,10.0,11000.0
151.0,35.0,15.153611111111111,23.0,6000.0
123.0,45.0,18.439722222222223,26.0,3200.0
161.0,45.0,14.14861111111111,24.0,3200.0
103.0,34.0,13.080555555555556,13.0,4000.0
156.0,49.0,12.080555555555556,23.0,6000.0
