Event number of finishers,age_at_race,hours,avgtemp,Elevation gain
58,43.0,12.169166666666667,28,5600
60,37.0,15.95861111111111,28,5600
99,50.0,13.675555555555556,18,4000
154,33.0,10.871944444444445,24,10000
109,55.0,13.949722222222222,17,4000
146,27.0,14.843055555555557,21,6000
102,45.0,19.801666666666662,20,3200
100,60.0,11.016944444444444,4,4000
68,50.0,16.750555555555554,22,9000
197,55.0,17.071944444444444,18,3200
76,46.0,13.850833333333334,9,11000
109,45.0,9.9275,11,4000
91,48.0,15.867777777777778,28,5600
67,45.0,13.068055555555556,17,9000
103,55.0,23.566666666666663,17,3200
97,45.0,17.40388888888889,28,5600
172,71.0,15.972777777777775,22,10000
38,44.0,17.725555555555555,18,6000
109,31.0,19.56833333333333,19,3200
166,36.0,12.162222222222224,24,10000
100,51.0,12.88861111111111,4,4000
103,57.0,23.177777777777777,17,3200
99,29.0,13.039166666666668,18,4000
126,46.0,15.821388888888889,15,3200
28,37.0,13.824166666666668,22,9000
126,35.0,13.885833333333334,15,3200
164,42.0,13.809166666666666,26,6000
72,55.0,12.864444444444445,16,11000
50,50.0,24.458055555555557,18,11000
108,40.0,8.8025,22,6000
80,33.0,14.274722222222222,28,5600
77,40.0,14.194722222222222,29,5600
189,59.0,12.384166666666667,21,6000
189,45.0,13.483333333333333,21,6000
141,63.0,16.65222222222222,19,10000
154,52.0,14.863055555555556,24,10000
130,39.0,12.1575,25,10000
221,52.0,14.494722222222222,22,3200
140,34.0,10.88888888888889,19,10000
55,46.0,15.565833333333334,21,11000
121,60.0,11.770555555555555,18,10000
140,51.0,14.422777777777778,19,10000
164,52.0,15.5075,26,6000
83,31.0,12.805,28,5600
60,43.0,14.776111111111112,28,5600
91,43.0,10.221388888888889,28,5600
24,41.0,16.682222222222222,17,6000
61,60.0,17.43,21,9000
109,36.0,10.9425,17,4000
100,51.0,10.535277777777775,4,4000
166,34.0,12.73611111111111,24,10000
87,58.0,13.9175,11,4000
151,44.0,13.403611111111111,23,6000
63,60.0,23.321944444444444,8,11000
151,57.0,15.311388888888889,23,6000
66,34.0,11.129722222222222,15,11000
161,60.0,23.280555555555555,24,3200
201,29.0,10.18388888888889,23,10000
138,33.0,12.588611111111112,23,6000
109,40.0,15.175555555555556,17,4000
154,49.0,14.137222222222222,24,10000
154,55.0,15.018611111111111,24,10000
159,30.0,13.043055555555556,22,3200
123,44.0,19.398611111111112,26,3200
68,65.0,17.761388888888888,22,9000
96,69.0,13.301111111111112,12,4000
109,66.0,16.97861111111111,19,3200
140,42.0,9.730277777777776,19,10000
197,47.0,23.525555555555556,18,3200
100,43.0,11.943333333333332,15,4000
154,63.0,14.341666666666669,24,10000
50,33.0,15.9075,18,11000
151,36.0,14.346388888888889,23,6000
156,30.0,13.165,23,6000
170,33.0,16.843888888888888,26,10000
63,40.0,14.655277777777778,21,9000
189,55.0,10.95,21,6000
54,38.0,14.366944444444444,21,11000
71,38.0,13.749166666666667,12,11000
21,53.0,18.70888888888889,20,9000
159,34.0,13.435555555555556,22,3200
141,33.0,11.801388888888887,19,10000
197,56.0,15.328888888888889,18,3200
40,54.0,13.302222222222222,28,5600
126,32.0,9.190277777777778,15,3200
84,48.0,7.9255555555555555,10,4000
164,40.0,11.755555555555556,26,6000
96,26.0,7.878888888888889,12,4000
109,27.0,13.23611111111111,17,4000
164,32.0,10.389722222222222,26,6000
172,37.0,17.503055555555555,22,10000
